,POLTITICAL_UNIT,NAME,WGMS_ID,RIVER_BASIN,FREE_POSITION,LOCAL_CODE,LOCAL_PSFG,GEN_LOCATION,SPEC_LOCATION,LATITUDE,LONGITUDE,PRIM_CLASSIFIC,FORM,FRONTAL_CHARS,EXPOS_ACC_AREA,EXPOS_ABL_AREA,PARENT_GLACIER,REMARKS,REGION,SUBREGION,GLIMS_ID,RGI_ID
474,CH,GRUEBEN,5059,,,,,,,46.597401,8.24776,,,,,,,,Central Europe,Alps,G008246E46596N,RGI50-11.01335
475,CH,GOLEGG,5060,,,,,,,46.614399,8.25324,,,,,,,,Central Europe,Alps,G008251E46614N,RGI50-11.01316
476,CH,AERLEN-N,5061,,,,,,,46.621601,8.25726,,,,,,,,Central Europe,Alps,G008262E46625N,RGI50-11.01288
477,CH,WYSSENBACH,5062,,,,,,,46.630501,8.26785,,,,,,,,Central Europe,Alps,G008270E46630N,RGI50-11.01269
478,CH,SCHAFLAEGERSTOECK-N,5063,,,,,,,46.651402,8.24465,,,,,,,,Central Europe,Alps,G008244E46650N,
479,CH,GRUEBEJOCH-NE,5064,,,,,,,46.610901,8.24796,,,,,,,,Central Europe,Alps,G008247E46610N,
480,CH,AERLEN-S,5065,,,,,,,46.6162,8.25979,,,,,,,,Central Europe,Alps,G008259E46616N,RGI50-11.01311
481,CH,RITZLIHORN-E,5066,,,,,,,46.632301,8.26526,,,,,,,,Central Europe,Alps,G008265E46632N,
482,CH,HIENDERTELLTIHORN-NW,5067,,,,,,,46.604698,8.23351,,,,,,,,Central Europe,Alps,G008234E46603N,
483,CH,HIENDERTELLTI (PART OF A54I/19N),5068,,,,,,,46.590302,8.22939,,,,,,,,Central Europe,Alps,G008230E46588N,RGI50-11.01362
484,CH,HIENDERSTOCK-NE (PART OF A54I/19N),5069,,,,,,,46.590401,8.21243,,,,,,,,Central Europe,Alps,G008211E46589N,RGI50-11.01358
485,CH,EWIGSCHNEEHORN-E,5070,,,,,,,46.597,8.16945,,,,,,,,Central Europe,Alps,G008170E46597N,
486,CH,RAENFENHORN-SE (PART OF A54I/19N),5071,,,,,,,46.631199,8.16991,,,,,,,,Central Europe,Alps,G008169E46632N,RGI50-11.01271
487,CH,HANGEND BE,5072,,,,,,,46.628399,8.18946,,,,,,,,Central Europe,Alps,G008191E46630N,RGI50-11.01279
488,CH,RAENFEN,5073,,,,,,,46.637501,8.1713,,,,,,,,Central Europe,Alps,G008178E46637N,RGI50-11.01259
489,CH,HANGENDHORN-NE-I,5074,,,,,,,46.6329,8.18953,,,,,,,,Central Europe,Alps,G008191E46633N,RGI50-11.01272
490,CH,STEINLAUIHORN-N,5075,,,,,,,46.622501,8.25336,,,,,,,,Central Europe,Alps,G008254E46624N,
491,CH,STEINLAUIHORN-NW,5076,,,,,,,46.622601,8.24944,,,,,,,,Central Europe,Alps,G008250E46622N,
492,CH,STEINLAUENEN,5077,,,,,,,46.618099,8.24938,,,,,,,,Central Europe,Alps,G008250E46618N,RGI50-11.01306
493,CH,GOLEGGHORN-W,5078,,,,,,,46.616299,8.24543,,,,,,,,Central Europe,Alps,G008246E46616N,
494,CH,GRUEBEJOCH-N,5079,,,,,,,46.611801,8.24276,,,,,,,,Central Europe,Alps,G008244E46612N,
495,CH,GRUEBEJOCH-W,5080,,,,,,,46.6091,8.24272,,,,,,,,Central Europe,Alps,G008243E46609N,RGI50-11.01331
496,CH,HANGENDHORN-S,5081,,,,,,,46.624802,8.18289,,,,,,,,Central Europe,Alps,G008183E46625N,RGI50-11.01289
497,CH,HANGENDHORN-NE-II,5082,,,,,,,46.632,8.188209,,,,,,,,Central Europe,Alps,G008188E46632N,
498,CH,RAENFENJOCH-E,5083,,,,,,,46.641998,8.16353,,,,,,,,Central Europe,Alps,G008162E46641N,RGI50-11.01248
499,CH,DOSSEN-E,5084,,,,,,,46.6492,8.16755,,,,,,,,Central Europe,Alps,G008167E46649N,RGI50-11.01241
500,CH,DOSSENGRAT-SE,5085,,,,,,,46.651001,8.16626,,,,,,,,Central Europe,Alps,G008167E46650N,RGI50-11.01236
501,CH,AUGSTGUMM-W-I,5086,,,,,,,46.664398,8.18212,,,,,,,,Central Europe,Alps,G008182E46664N,RGI50-11.01223
502,CH,AUGSTGUMM-W-II,5087,,,,,,,46.666199,8.18346,,,,,,,,Central Europe,Alps,G008184E46665N,
503,CH,OCHSENTAL,5088,,,,,,,46.675201,8.17966,,,,,,,,Central Europe,Alps,G008180E46676N,
504,CH,HENGSTEREN,5089,,,,,,,46.6413,8.13087,,,,,,,,Central Europe,Alps,G008130E46641N,RGI50-11.01237
